TransiciÃ³n,Cantidad,Porcentaje
2->9,3,5.263157894736842
6->6,3,5.263157894736842
7->7,2,3.508771929824561
5->7,2,3.508771929824561
8->3,2,3.508771929824561
8->4,2,3.508771929824561
6->5,2,3.508771929824561
5->6,2,3.508771929824561
6->7,2,3.508771929824561
7->5,1,1.7543859649122806
5->5,1,1.7543859649122806
7->4,1,1.7543859649122806
4->5,1,1.7543859649122806
5->0,1,1.7543859649122806
0->8,1,1.7543859649122806
3->5,1,1.7543859649122806
5->8,1,1.7543859649122806
4->7,1,1.7543859649122806
7->9,1,1.7543859649122806
9->3,1,1.7543859649122806
3->2,1,1.7543859649122806
2->2,1,1.7543859649122806
9->7,1,1.7543859649122806
7->8,1,1.7543859649122806
8->2,1,1.7543859649122806
9->6,1,1.7543859649122806
6->4,1,1.7543859649122806
4->2,1,1.7543859649122806
9->9,1,1.7543859649122806
9->1,1,1.7543859649122806
1->3,1,1.7543859649122806
3->8,1,1.7543859649122806
3->6,1,1.7543859649122806
7->6,1,1.7543859649122806
7->3,1,1.7543859649122806
3->4,1,1.7543859649122806
4->8,1,1.7543859649122806
4->4,1,1.7543859649122806
4->1,1,1.7543859649122806
1->8,1,1.7543859649122806
8->9,1,1.7543859649122806
9->8,1,1.7543859649122806
8->6,1,1.7543859649122806
6->1,1,1.7543859649122806
1->5,1,1.7543859649122806
7->0,1,1.7543859649122806
